Countries,X,Y
United States Of America,-331.0, -6.0
Mexico,-292.0, -125.0
Canada,-274.0, 132.0
Guatemala,-18.0, 13.0
Haiti,209.0, 141.0
Cuba,57.0, 221.0
Dominican Republic,285.0, 142.0
Honduras,125.0, -1.0
Nicaragua,168.0, -52.0
El Salvador,53.0, -38.0
Costa Rica,207.0, -129.0
Panama,338.0, -138.0
Puerto Rico,369.0, 133.0
Jamaica,109.0, 130.0
Belize,80.0, 67.0
The Bahamas,133.0, 261.0
Saint Lucia,470.0, 12.0
Grenada,437.0, -40.0
United States Virgin Islands,437.0, 124.0
Saint Vincent And The Grenadines,449.0, -4.0
Antigua And Barbuda,458.0, 92.0
Dominica,451.0, 46.0
Cayman Islands,5.0, 175.0
Saint Kitts And Nevis,418.0, 82.0
Sint Maarten,462.0, 111.0
Turks And Caicos Islands,279.0, 203.0
Saint Martin,430.0, 136.0
British Virgin Islands,400.0, 142.0
Saint-Barthélemy,459.0, 96.0
Saint Pierre And Miquelon,-23.0, 107.0
Montserrat,402.0, 81.0
